County,Annual local revenue target ,1st Quarter Local Revenue ,2nd Quarter Local Revenue,3rd Quarter Local Revenue,4th Quarter Local Revenue ,Total Local Revenue,% of Local Revenue Against Annual Local Revenue Target,Fyear,CID
Baringo,300000000,77326161,52357215,72750071,76883756,279317203,93.1,2015-2016,30
Bomet,188826880,26946036,30397527,47210823,62432901,166987287,88.4,2015-2016,36
Bungoma,804045555,102622636,81701379,143303571,303360899,630988485,78.5,2015-2016,39
Busia,543066927,108804879,68007563,79863024,77546618,334222084,61.5,2015-2016,40
Elgeyo Marakwet,295324173,34445140,19973478,40481041,33156075,128055734,43.4,2015-2016,28
Embu,630762379,92648987,71741351,142044601,90090673,396525612,62.9,2015-2016,14
Garissa,500000000,24763118,20839300,32271143,28070114,105943675,21.2,2015-2016,7
Homa Bay,202733667,43487781,39896821,55039062,45341741,183765405,90.6,2015-2016,43
Isiolo,360000000,36095279,20456913,28470140,25085840,110108172,30.6,2015-2016,11
Kajiado,1232330387,140745739,113341248,208677100,188220891,650984978,52.8,2015-2016,34
Kakamega,1000000000,110227243,107367607,143274350,143369092,504238292,50.4,2015-2016,37
Kericho,440000000,43727216,71558863,133842077,185276407,434404563,98.7,2015-2016,35
Kiambu,3308126323,437588339,536460761,841295319,646007095,2461351513,74.4,2015-2016,22
Kilifi,1407318463,73395750,95594730,242203518,107881627,519075625,36.9,2015-2016,3
Kirinyaga,500000000,65048128,53019014,164158069,108151929,390377140,78.1,2015-2016,20
Kisii,700000000,57786966,47069610,109163996,92109066,306129638,43.7,2015-2016,45
Kisumu,1868587023,207997080,198799796,340160548,231931837,978889261,52.4,2015-2016,42
Kitui,608200000,94842117,60185125,156402737,104758749,416188728,68.4,2015-2016,15
Kwale,300000000,40649387,49333479,87598501,71036219,248617586,82.9,2015-2016,2
Laikipia,500000000,136770714,94247781,159930856,80198636,471147987,94.2,2015-2016,31
Lamu,107000000,10905995,10150163,25626832,10641410,57324400,53.6,2015-2016,5
Machakos,2371633578,201681606,196598418,397410231,325990695,1121680950,47.3,2015-2016,16
Makueni,400000000,40295311,46962142,63875062,62038290,213170805,53.3,2015-2016,17
Mandera,199237816,28243029,19678592,21346195,18966818,88234634,44.3,2015-2016,9
Marsabit,130000000,26443448,27574164,30604207,27321386,111943205,86.1,2015-2016,10
Meru,595273355,109690341,81974085,162903172,193721736,548289334,92.1,2015-2016,12
Migori,400000000,86868486,64691276,87605182,100204024,339368968,84.8,2015-2016,44
Mombasa,4051754938,384169600,353015653,845805097,1360530336,2943520686,72.6,2015-2016,1
Murang’a,850000000,109730737,110441067,230649879,166704676,617526359,72.7,2015-2016,21
Nairobi,15289917527,2228013602,2737765625,4655878689,2088350384,11710008300,76.6,2015-2016,47
Nakuru,2312257727,436180425,394181295,691840301,773260821,2295462842,99.3,2015-2016,32
Nandi,357895800,47122753,56648451,53612994,79514403,236898601,66.2,2015-2016,29
